bench,instance_id,original_inst_id,language,status,patch_files,patch_blocks,patch_span,gold_context_length,num_agents,repo,commit
Verified,SWE-Bench-Verified__python__maintenance__bugfix__f8da42bc,django__django-13449,python,pass,1.0,1.0,42.0,394.0,65,,2a55431a5678af52f669ffe7dff3dd0bd21727f8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__0f3c174a,sphinx-doc__sphinx-8638,python,pass,1.0,1.0,2.0,407.0,10,,4b452338f914d4f6b54704222d70ae8a746e3db5
Verified,SWE-Bench-Verified__python__maintenance__bugfix__60bc9e86,django__django-15863,python,pass,1.0,1.0,2.0,174.0,92,,37c5b8c07be104fd5288cd87f101e48cb7a40298
Poly,SWE-PolyBench__python__maintenance__bugfix__52a91dd8,langchain-ai__langchain-5609,mixed,pass,2.0,2.0,47.0,2421.0,0,,28d6277396013a16613008647c312bbd6c4623cc
Verified,SWE-Bench-Verified__python__maintenance__bugfix__31d4fe9d,django__django-14539,python,pass,1.0,1.0,5.0,376.0,89,,6a5ef557f80a8eb6a758ebe99c8bb477ca47459e
Verified,SWE-Bench-Verified__python__maintenance__bugfix__90f381a2,django__django-12858,python,pass,1.0,1.0,2.0,352.0,78,,f2051eb8a7febdaaa43bd33bf5a6108c5f428e59
Verified,SWE-Bench-Verified__python__maintenance__bugfix__497d4650,matplotlib__matplotlib-26342,python,pass,1.0,2.0,6.0,352.0,90,,2aee6ccd7c7e1f8d282c1e7579f4ee546b838542
Poly,SWE-PolyBench__python__maintenance__bugfix__24342259,keras-team__keras-19484,mixed,pass,1.0,1.0,2.0,254.0,0,,6a9bc4c051f0e4ee5e4ff48f08fd14230036dc46
Verified,SWE-Bench-Verified__python__maintenance__bugfix__abb9b8b0,pytest-dev__pytest-10081,python,pass,1.0,1.0,2.0,443.0,83,,da9a2b584eb7a6c7e924b2621ed0ddaeca0a7bea
Poly,SWE-PolyBench__python__maintenance__bugfix__14ce2fa9,huggingface__transformers-23223,mixed,pass,3.0,4.0,46.0,1706.0,0,,9088fcae82f4e23021e600966626188ce6fbe6df
Verified,SWE-Bench-Verified__python__maintenance__bugfix__05a89a66,django__django-13109,python,pass,1.0,1.0,2.0,301.0,106,,fbe82f82555bc25dccb476c749ca062f0b522be3
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4f88ede2,scikit-learn__scikit-learn-15100,python,pass,1.0,1.0,5.0,289.0,103,,af8a6e592a1a15d92d77011856d5aa0ec4db4c6c
Poly,SWE-PolyBench__python__maintenance__bugfix__ea5a4764,keras-team__keras-19775,mixed,pass,1.0,1.0,4.0,912.0,0,,a243d91e43b4c43fe8d184b541b608b6ddd80f71
Verified,SWE-Bench-Verified__python__maintenance__bugfix__15e5aaa3,sympy__sympy-21930,python,pass,1.0,3.0,9.0,569.0,0,,de446c6d85f633271dfec1452f6f28ea783e293f
Verified,SWE-Bench-Verified__python__maintenance__bugfix__09457b9b,matplotlib__matplotlib-25332,python,pass,1.0,1.0,24.0,191.0,59,,66ba515e671638971bd11a34cff12c107a437e0b
Verified,SWE-Bench-Verified__python__maintenance__bugfix__3f745086,django__django-15987,python,pass,1.0,1.0,2.0,383.0,76,,7e6b537f5b92be152779fc492bb908d27fe7c52a
Verified,SWE-Bench-Verified__python__maintenance__bugfix__cb2c6ff3,pydata__xarray-7233,python,pass,1.0,1.0,4.0,274.0,96,,51d37d1be95547059251076b3fadaa317750aab3
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a375715a,sympy__sympy-22456,python,pass,1.0,4.0,12.0,808.0,83,,a3475b3f9ac662cd425157dd3bdb93ad7111c090
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a14d0e2e,matplotlib__matplotlib-24570,python,pass,1.0,1.0,4.0,370.0,76,,8f0003ae902952372824c9917975fb372c026a42
Verified,SWE-Bench-Verified__python__maintenance__bugfix__02b5862c,django__django-7530,python,pass,1.0,1.0,2.0,379.0,93,,f8fab6f90233c7114d642dfe01a4e6d4cb14ee7d
Verified,SWE-Bench-Verified__python__maintenance__bugfix__55a3ef80,django__django-11163,python,pass,1.0,1.0,2.0,276.0,106,,e6588aa4e793b7f56f4cadbfa155b581e0efc59a
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4f130690,scikit-learn__scikit-learn-10844,python,pass,1.0,1.0,2.0,432.0,109,,97523985b39ecde369d83352d7c3baf403b60a22
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4fb8fc10,django__django-16429,python,pass,1.0,1.0,2.0,101.0,105,,6c86495bcee22eac19d7fb040b2988b830707cbd
Poly,SWE-PolyBench__python__evolution__feature__4a329645,huggingface__transformers-15795,mixed,pass,1.0,6.0,41.0,5619.0,0,,8481ecefbd7e701bc061b321cb1695d16eac95a9
Poly,SWE-PolyBench__python__evolution__feature__b4302840,huggingface__transformers-21768,mixed,pass,1.0,8.0,157.0,4347.0,0,,99ba36e72fe7d1528e2c6572373a425967ee544f
Verified,SWE-Bench-Verified__python__maintenance__bugfix__8971eeba,scikit-learn__scikit-learn-14983,python,pass,1.0,2.0,9.0,450.0,42,,06632c0d185128a53c57ccc73b25b6408e90bb89
Verified,SWE-Bench-Verified__python__maintenance__bugfix__42c77239,pydata__xarray-2905,python,fail2pass,1.0,1.0,7.0,241.0,71,,7c4e2ac83f7b4306296ff9b7b51aaf016e5ad614
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4b691a35,django__django-17087,python,pass,1.0,1.0,2.0,253.0,76,,4a72da71001f154ea60906a2f74898d32b7322a7
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a7a5e8ed,django__django-14349,python,pass,1.0,2.0,5.0,482.0,97,,a708f39ce67af174df90c5b5e50ad1976cec7cb8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__bc999af3,sympy__sympy-13877,python,fail2pass,1.0,1.5,10.0,1901.6666666666667,32,,1659712001810f5fc563a443949f8e3bb38af4bd
Poly,SWE-PolyBench__python__maintenance__bugfix__380568e9,keras-team__keras-19636,mixed,pass,1.0,3.0,14.0,1055.0,0,,880f0cdd67591474d8ed98a6b192655322b7ecfc
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4e7b7c81,django__django-15741,python,pass,1.0,1.0,2.0,189.0,96,,8c0886b068ba4e224dd78104b93c9638b860b398
Verified,SWE-Bench-Verified__python__maintenance__bugfix__6cf8c11d,django__django-16527,python,pass,1.0,1.0,1.0,265.0,107,,bd366ca2aeffa869b7dbc0b0aa01caea75e6dc31
Verified,SWE-Bench-Verified__python__maintenance__bugfix__3185b834,astropy__astropy-14598,python,pass,1.0,2.0,4.0,640.0,7,,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1
Verified,SWE-Bench-Verified__python__maintenance__bugfix__ec975b6c,pydata__xarray-4695,python,pass,1.0,1.0,2.0,320.0,51,,51ef2a66c4e0896eab7d2b03e3dfb3963e338e3c
Verified,SWE-Bench-Verified__python__maintenance__bugfix__2e76c8cd,pallets__flask-5014,python,pass,1.0,1.0,2.0,119.0,102,,7ee9ceb71e868944a46e1ff00b506772a53a4f1d
Poly,SWE-PolyBench__python__maintenance__bugfix__b01e9113,huggingface__transformers-29449,mixed,pass,1.0,2.0,22.0,2676.0,0,,17b06e2c6650de162e7954babf6224c1975c2852
Verified,SWE-Bench-Verified__python__maintenance__bugfix__42a80be0,scikit-learn__scikit-learn-9288,python,pass,1.0,2.0,6.0,1221.0,85,,3eacf948e0f95ef957862568d87ce082f378e186
Verified,SWE-Bench-Verified__python__maintenance__bugfix__88e1ffd3,psf__requests-1142,python,pass,1.0,1.0,1.0,467.0,61,,22623bd8c265b78b161542663ee980738441c307
Verified,SWE-Bench-Verified__python__maintenance__bugfix__51f3cc91,scikit-learn__scikit-learn-14894,python,pass,1.0,1.0,11.0,458.0,106,,fdbaa58acbead5a254f2e6d597dc1ab3b947f4c6
Verified,SWE-Bench-Verified__python__maintenance__bugfix__9a05fe0c,django__django-11179,python,pass,1.0,1.0,1.0,326.0,100,,19fc6376ce67d01ca37a91ef2f55ef769f50513a
Verified,SWE-Bench-Verified__python__maintenance__bugfix__1ad7449c,django__django-14404,python,pass,1.0,1.0,8.0,546.0,32,,de32fe83a2e4a20887972c69a0693b94eb25a88b
Verified,SWE-Bench-Verified__python__maintenance__bugfix__9b321036,sympy__sympy-15017,python,pass,1.0,1.0,2.0,242.0,48,,6810dee426943c1a2fe85b5002dd0d4cf2246a05
Verified,SWE-Bench-Verified__python__maintenance__bugfix__9c470c46,matplotlib__matplotlib-22871,python,pass,1.0,1.0,6.0,323.0,44,,a7b7260bf06c20d408215d95ce20a1a01c12e5b1
Poly,SWE-PolyBench__python__maintenance__bugfix__faa6b3ac,huggingface__transformers-3716,mixed,pass,2.0,3.0,14.0,2049.0,0,,f8208fa456039b46873a2e497b6318d30a4fc84e
Verified,SWE-Bench-Verified__python__maintenance__bugfix__8d1c297a,sympy__sympy-13647,python,pass,1.0,1.0,2.0,281.0,95,,67e3c956083d0128a621f65ee86a7dacd4f9f19f
Poly,SWE-PolyBench__python__maintenance__bugfix__2f88019c,huggingface__transformers-8624,mixed,pass,1.0,1.0,8.0,742.0,0,,cdfa56afe02c3ed5d2b86498515cfddf82d56f2c
Verified,SWE-Bench-Verified__python__maintenance__bugfix__bdec299d,scikit-learn__scikit-learn-13142,python,pass,1.0,2.0,5.0,645.0,89,,1c8668b0a021832386470ddf740d834e02c66f69
Verified,SWE-Bench-Verified__python__maintenance__bugfix__3d378646,scikit-learn__scikit-learn-14141,python,pass,1.0,1.0,1.0,93.0,107,,3d997697fdd166eff428ea9fd35734b6a8ba113e
Verified,SWE-Bench-Verified__python__maintenance__bugfix__12d848d7,django__django-11433,python,pass,1.0,1.0,7.0,485.0,15,,21b1d239125f1228e579b1ce8d94d4d5feadd2a6
Verified,SWE-Bench-Verified__python__maintenance__bugfix__ac127191,sympy__sympy-23413,python,fail2pass,1.0,1.0,5.0,753.0,18,,10de1a18a0efac0b19b611e40c928250dda688bf
Verified,SWE-Bench-Verified__python__maintenance__bugfix__7db465d6,sphinx-doc__sphinx-9698,python,pass,1.0,1.0,2.0,345.0,90,,f050a7775dfc9000f55d023d36d925a8d02ccfa8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__d561b333,sympy__sympy-19954,python,pass,1.0,1.0,7.0,888.0,92,,6f54459aa0248bf1467ad12ee6333d8bc924a642
Verified,SWE-Bench-Verified__python__maintenance__bugfix__681ea2b6,django__django-15569,python,pass,1.0,1.0,1.0,207.0,104,,884b4c27f506b3c29d58509fc83a35c30ea10d94
Verified,SWE-Bench-Verified__python__maintenance__bugfix__58d0e27a,sympy__sympy-21612,python,pass,1.0,1.0,7.0,320.0,5,,b4777fdcef467b7132c055f8ac2c9a5059e6a145
Verified,SWE-Bench-Verified__python__maintenance__bugfix__768d44e5,django__django-13551,python,pass,1.0,2.0,13.0,860.0,51,,7f9e4524d6b23424cf44fbe1bf1f4e70f6bb066e
Poly,SWE-PolyBench__python__maintenance__bugfix__70acfaad,huggingface__transformers-29311,mixed,pass,1.0,3.0,12.0,474.0,0,,b27aa206ddf3fe66b36db587603141b3d0379a82
Pro,SWE-Bench-Pro__python__maintenance__bugfix__81c5c6fa,instance_internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,mixed,pass,4.0,10.0,85.0,3350.0,0,,34099a36bcd3e9f33e169beb06f64dfab81c2cde
Verified,SWE-Bench-Verified__python__maintenance__bugfix__5d44a351,matplotlib__matplotlib-20676,python,pass,1.0,1.0,7.0,354.0,19,,6786f437df54ca7780a047203cbcfaa1db8dc542
Poly,SWE-PolyBench__python__maintenance__bugfix__dbd7cde5,huggingface__transformers-12981,mixed,pass,1.0,1.0,2.0,208.0,0,,75b8990d9068a2c6ef448c190f2595c17fbcb993
Verified,SWE-Bench-Verified__python__maintenance__bugfix__9dcac3ec,sphinx-doc__sphinx-9367,python,pass,1.0,1.0,8.0,350.0,100,,6918e69600810a4664e53653d6ff0290c3c4a788
Verified,SWE-Bench-Verified__python__maintenance__bugfix__ce7f17a5,matplotlib__matplotlib-25479,python,pass,2.0,2.0,14.0,443.0,0,,7fdf772201e4c9bafbc16dfac23b5472d6a53fa2
Verified,SWE-Bench-Verified__python__maintenance__bugfix__726ccefd,sympy__sympy-22914,python,pass,1.0,1.0,3.0,87.0,102,,c4e836cdf73fc6aa7bab6a86719a0f08861ffb1d
Poly,SWE-PolyBench__python__maintenance__bugfix__2a9201a9,huggingface__transformers-30556,mixed,pass,2.0,2.0,13.0,958.0,0,,a3aabc702e1c49243e7b48f22d88362d50e786c5
Poly,SWE-PolyBench__python__maintenance__bugfix__5acd9675,huggingface__transformers-16198,mixed,fail2pass,1.0,3.0,26.0,410.0,0,,d35e0c62477d8a99baca3d2ae2e64ec62b64527c
Verified,SWE-Bench-Verified__python__maintenance__bugfix__186c0af4,sympy__sympy-13615,python,pass,1.0,1.0,11.0,210.0,42,,50d8a102f0735da8e165a0369bbb994c7d0592a6
Verified,SWE-Bench-Verified__python__maintenance__bugfix__d3576321,sympy__sympy-20428,python,pass,1.0,1.0,10.0,148.0,0,,c0e85160406f9bf2bcaa2992138587668a1cd0bc
Verified,SWE-Bench-Verified__python__maintenance__bugfix__93721db4,django__django-10880,python,pass,1.0,1.0,2.0,329.0,86,,838e432e3e5519c5383d12018e6c78f8ec7833c1
Verified,SWE-Bench-Verified__python__maintenance__bugfix__6809df19,django__django-15467,python,pass,1.0,1.0,2.0,306.0,107,,e0442a628eb480eac6a7888aed5a86f83499e299
Verified,SWE-Bench-Verified__python__maintenance__bugfix__96afaad2,django__django-14089,python,pass,1.0,1.0,3.0,123.0,106,,d01709aae21de9cd2565b9c52f32732ea28a2d98
Verified,SWE-Bench-Verified__python__maintenance__bugfix__20294df2,sympy__sympy-16886,python,pass,1.0,1.0,2.0,214.0,102,,c50643a49811e9fe2f4851adff4313ad46f7325e
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4d207ce8,django__django-13028,python,pass,1.0,1.0,9.0,320.0,90,,78ad4b4b0201003792bfdbf1a7781cbc9ee03539
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a5ec0eec,django__django-14999,python,pass,1.0,1.0,11.0,601.0,76,,a754b82dac511475b6276039471ccd17cc64aeb8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__71f348da,astropy__astropy-13579,python,pass,1.0,1.0,14.0,506.0,81,,0df94ff7097961e92fd7812036a24b145bc13ca8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__765e5e14,sphinx-doc__sphinx-10449,python,pass,1.0,3.0,13.0,853.0,61,,36367765fe780f962bba861bf368a765380bbc68
Poly,SWE-PolyBench__python__evolution__feature__c0e4893c,huggingface__transformers-23126,mixed,pass,1.0,3.0,10.0,924.0,0,,b61d5b47f640308068139561f673765b2af39874
Verified,SWE-Bench-Verified__python__maintenance__bugfix__0eecae1e,pytest-dev__pytest-7432,python,pass,1.0,1.0,2.0,228.0,82,,e6e300e729dd33956e5448d8be9a0b1540b4e53a
Verified,SWE-Bench-Verified__python__maintenance__bugfix__c4c8d376,django__django-13925,python,pass,1.0,1.0,1.0,233.0,50,,0c42cdf0d2422f4c080e93594d5d15381d6e955e
Pro,SWE-Bench-Pro__python__maintenance__bugfix__89932d58,instance_qutebrowser__qutebrowser-bedc9f7fadf93f83d8dee95feeecb9922b6f063f-v2ef375ac784985212b1805e1d0431dc8f1b3c171,mixed,pass,4.0,7.5,158.5,4653.0,0,,0e624e64695e8f566c7391f65f737311aeb6b2eb
Verified,SWE-Bench-Verified__python__maintenance__bugfix__35f76ab1,matplotlib__matplotlib-22865,python,pass,1.0,1.0,8.0,362.0,45,,c6c7ec1978c22ae2c704555a873d0ec6e1e2eaa8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__90532e38,pydata__xarray-4075,python,pass,1.0,1.0,3.0,269.0,106,,19b088636eb7d3f65ab7a1046ac672e0689371d8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__c2f0f2be,pytest-dev__pytest-7205,python,pass,1.0,2.0,3.0,232.0,73,,5e7f1ab4bf58e473e5d7f878eb2b499d7deabd29
Verified,SWE-Bench-Verified__python__maintenance__bugfix__b5cec962,sphinx-doc__sphinx-7462,python,pass,2.0,2.0,5.0,775.0,0,,b3e26a6c851133b82b50f4b68b53692076574d13
Poly,SWE-PolyBench__python__maintenance__bugfix__9ea927ce,yt-dlp__yt-dlp-9862,mixed,pass,1.0,2.0,3.0,1903.0,0,,39bc699d2e6e39b26af028cc09a7b1d460d00e31
Verified,SWE-Bench-Verified__python__maintenance__bugfix__bdde6d9c,django__django-12125,python,pass,1.0,1.0,2.0,238.0,54,,89d41cba392b759732ba9f1db4ff29ed47da6a56
Verified,SWE-Bench-Verified__python__maintenance__bugfix__d3bf673c,pydata__xarray-6599,python,fail2pass,1.0,2.0,6.0,336.0,42,,6bb2b855498b5c68d7cca8cceb710365d58e6048
Verified,SWE-Bench-Verified__python__maintenance__bugfix__dc72c033,django__django-12155,python,pass,1.0,1.0,3.0,1447.0,108,,e8fcdaad5c428878d0a5d6ba820d957013f75595
Verified,SWE-Bench-Verified__python__maintenance__bugfix__51e329de,sympy__sympy-12419,python,fail2pass,1.0,4.0,9.0,754.0,61,,479939f8c65c8c2908bbedc959549a257a7c0b0b
Verified,SWE-Bench-Verified__python__maintenance__bugfix__7ec77e9c,sympy__sympy-12096,python,pass,1.0,1.0,5.0,244.0,104,,d7c3045115693e887bcd03599b7ca4650ac5f2cb
Verified,SWE-Bench-Verified__python__maintenance__bugfix__c4bcf730,sympy__sympy-15976,python,fail2pass,1.0,2.0,19.0,1560.5,23,,701441853569d370506514083b995d11f9a130bd
Verified,SWE-Bench-Verified__python__maintenance__bugfix__80c9776a,django__django-11555,python,pass,1.0,1.0,17.0,242.0,45,,8dd5877f58f84f2b11126afbd0813e24545919ed
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a571e81e,matplotlib__matplotlib-25122,python,pass,1.0,2.0,8.0,811.0,98,,5ec2bd279729ff534719b8bf238dbbca907b93c5
Verified,SWE-Bench-Verified__python__maintenance__bugfix__c20c3c4f,django__django-14787,python,pass,1.0,1.0,4.0,406.0,91,,004b4620f6f4ad87261e149898940f2dcd5757ef
Pro,SWE-Bench-Pro__python__maintenance__bugfix__ab946da6,instance_internetarchive__openlibrary-60725705782832a2cb22e17c49697948a42a9d03-v298a7a812ceed28c4c18355a091f1b268fe56d86,mixed,pass,1.0,1.0,32.5,3070.0,0,,73e4b70aa3adafbbf44e7942b5bf9efabce70447
Verified,SWE-Bench-Verified__python__maintenance__bugfix__1a760e52,django__django-11099,python,pass,1.0,2.0,4.0,480.0,107,,d26b2424437dabeeca94d7900b37d2df4410da0c
Poly,SWE-PolyBench__python__maintenance__bugfix__aaf309d2,langchain-ai__langchain-4009,mixed,pass,1.0,3.0,33.0,2652.0,0,,aa383559999b3d6a781c62ed7f8589fef8892879
Poly,SWE-PolyBench__python__maintenance__bugfix__2b00c0d1,huggingface__transformers-26839,mixed,pass,1.0,1.0,13.0,4591.0,0,,d7cb5e138ec1ccc848a554574b1a89f0dfaf0e90
Pro,SWE-Bench-Pro__python__maintenance__bugfix__1bb5c0b0,instance_ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,3.0,7.0,37.0,1425.0,0,,bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb
Pro,SWE-Bench-Pro__python__maintenance__bugfix__1cae51cc,instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,mixed,pass,8.0,19.0,107.0,8496.0,0,,6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf
Verified,SWE-Bench-Verified__python__maintenance__bugfix__d0723f55,sphinx-doc__sphinx-8120,python,pass,2.0,3.0,5.0,1042.0,76,,795747bdb6b8fb7d717d5bbfc2c3316869e66a73
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4d321c4a,sympy__sympy-20590,python,pass,1.0,1.0,1.0,233.0,58,,cffd4e0f86fefd4802349a9f9b19ed70934ea354
Verified,SWE-Bench-Verified__python__maintenance__bugfix__84effcbc,django__django-13158,python,pass,1.0,2.0,8.0,511.0,64,,7af8f4127397279d19ef7c7899e93018274e2f9b
Verified,SWE-Bench-Verified__python__maintenance__bugfix__b91692e0,scikit-learn__scikit-learn-25931,python,pass,1.0,3.0,7.0,730.0,85,,e3d1f9ac39e4bf0f31430e779acc50fb05fe1b64
Verified,SWE-Bench-Verified__python__maintenance__bugfix__16c72e4c,django__django-12419,python,pass,1.0,1.0,2.0,160.0,101,,7fa1a93c6c8109010a6ff3f604fda83b604e0e97
Verified,SWE-Bench-Verified__python__maintenance__bugfix__20eb5bc8,pydata__xarray-4966,python,pass,1.0,1.0,8.0,295.0,96,,37522e991a32ee3c0ad1a5ff8afe8e3eb1885550
Verified,SWE-Bench-Verified__python__maintenance__bugfix__1c5aa714,django__django-14500,python,pass,1.0,2.0,9.0,615.0,79,,8c3bd0b708b488a1f6e8bd8cc6b96569904605be
Verified,SWE-Bench-Verified__python__maintenance__bugfix__0b74a2c7,django__django-15104,python,pass,1.0,1.0,2.0,289.0,107,,a7e7043c8746933dafce652507d3b821801cdc7d
Verified,SWE-Bench-Verified__python__maintenance__bugfix__c9656d7a,django__django-15380,python,pass,1.0,1.0,2.0,514.0,85,,71e7c8e73712419626f1c2b6ec036e8559a2d667
Verified,SWE-Bench-Verified__python__maintenance__bugfix__2ccbdc72,django__django-15930,python,pass,1.0,1.0,5.0,173.0,71,,63884829acd207404f2a5c3cc1d6b4cd0a822b70
Verified,SWE-Bench-Verified__python__maintenance__bugfix__dded0f96,django__django-15368,python,pass,1.0,2.0,3.0,842.0,105,,e972620ada4f9ed7bc57f28e133e85c85b0a7b20
Poly,SWE-PolyBench__python__maintenance__bugfix__8b1080ea,keras-team__keras-19863,mixed,fail2pass,1.0,1.0,48.0,499.0,0,,f6cf6a0e77dd504cfc35dd499dd8694b0b80b4ae
Verified,SWE-Bench-Verified__python__maintenance__bugfix__1efc2b51,django__django-16485,python,pass,1.0,1.0,2.0,201.0,102,,39f83765e12b0e5d260b7939fc3fe281d879b279
Pro,SWE-Bench-Pro__python__maintenance__bugfix__9c878ad5,instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,2.0,4.5,39.0,2818.0,0,,016b7f71b10539c90ddbb3246f19f9cbf0e65428
Verified,SWE-Bench-Verified__python__maintenance__bugfix__d2a786e2,django__django-13516,python,pass,1.0,1.0,4.0,163.0,96,,b7da588e883e12b8ac3bb8a486e654e30fc1c6c8
Verified,SWE-Bench-Verified__python__maintenance__bugfix__1ae3c3bd,django__django-13417,python,pass,1.0,1.0,2.0,248.0,95,,71ae1ab0123582cc5bfe0f7d5f4cc19a9412f396
Verified,SWE-Bench-Verified__python__maintenance__bugfix__a8414dbd,matplotlib__matplotlib-25311,python,pass,1.0,2.0,21.0,498.0,58,,430fb1db88843300fb4baae3edc499bbfe073b0c
Pro,SWE-Bench-Pro__python__maintenance__bugfix__07bb383a,instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,6.0,9.0,37.0,3746.0,0,,e889b1063f60f6b99f5d031f7e903f7be5f58900
Verified,SWE-Bench-Verified__python__maintenance__bugfix__fd8123b1,django__django-15629,python,fail2pass,4.0,6.0,27.0,2419.5,0,,694cf458f16b8d340a3195244196980b2dec34fd
Verified,SWE-Bench-Verified__python__maintenance__bugfix__3e44d93a,django__django-11815,python,pass,1.0,1.0,4.0,362.0,76,,e02f67ef2d03d48128e7a118bf75f0418e24e8ac
Verified,SWE-Bench-Verified__python__maintenance__bugfix__34e61891,matplotlib__matplotlib-20826,python,pass,1.0,1.0,5.0,250.0,37,,a0d2e399729d36499a1924e5ca5bc067c8396810
Poly,SWE-PolyBench__python__maintenance__bugfix__64a006b0,keras-team__keras-19844,mixed,pass,2.0,2.0,3.0,318.0,0,,1c60668f6bdd05dab619806e7b2dc25d3ed4ccbf
Verified,SWE-Bench-Verified__python__maintenance__bugfix__220feee3,pydata__xarray-6721,python,pass,1.0,1.0,3.0,247.0,57,,cc183652bf6e1273e985e1c4b3cba79c896c1193
Verified,SWE-Bench-Verified__python__maintenance__bugfix__13b74fcf,sympy__sympy-17318,python,pass,2.0,3.0,16.0,683.0,10,,d4e0231b08147337745dcf601e62de7eefe2fb2d
Verified,SWE-Bench-Verified__python__maintenance__bugfix__46dc77a5,django__django-12262,python,pass,1.0,1.0,2.0,375.0,74,,69331bb851c34f05bc77e9fc24020fe6908b9cd5
Verified,SWE-Bench-Verified__python__maintenance__bugfix__4f685b8e,pydata__xarray-6461,python,pass,1.0,1.0,10.0,417.0,85,,851dadeb0338403e5021c3fbe80cbc9127ee672d
